Gene	
"Pmvk"	0.388993124023003
"Sod1"	0.346187837205795
"Acsl3"	0.342497206834689
"Prdx5"	0.334581843534827
"Acsl1"	0.313668747675295
"Ephx2"	0.311470466713357
"Mvk"	0.29816098145308
"Decr2"	0.286268665645325
"Acsl5"	0.265925224247775
"Pex7"	0.264421203890433
"Eci2"	0.246936753423925
"Abcd3"	0.23015094625485
"Sod2"	0.220491376331307
"Mpv17l"	0.21514359299193
"Scp2"	0.212436276462846
"Acox1"	0.207610534355791
"Ech1"	0.205150174271743
"Phyh"	0.201097325158635
"Pxmp2"	0.197804516490086
"Acsl6"	0.190644222647221
"Pex5l"	-0.195837271340147
"Pex6"	-0.199417227576323
"Abcd4"	-0.216639468251204
"Xdh"	-0.23770024072912
